Intent,Entity,Response
Disaster Awareness,shelter,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,mental_health,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,evacuation,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,volcano,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,hurricane,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,shelter,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,evacuation,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,heatwave,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,volcano,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,bleeding,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,volcano,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,food_and_water,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,heatwave,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,shock,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,shelter,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,earthquake,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,tornado,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,bleeding,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,hurricane,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,food_and_water,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,shock,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,pandemic,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,sprain,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,evacuation,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,hurricane,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,heatwave,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,pandemic,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,burn,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,food_and_water,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,bleeding,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,heatwave,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,sprain,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,drowning,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,heatwave,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,heatwave,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,shelter,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,sprain,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,shock,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,burn,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,shelter,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,tornado,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,tornado,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,earthquake,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,volcano,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,pandemic,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,food_and_water,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,volcano,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,shelter,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,food_and_water,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,fracture,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,shock,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,wildfire,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,fracture,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,bleeding,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,drowning,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,pandemic,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,mental_health,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,tornado,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,shock,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,bleeding,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,mental_health,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,fracture,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,mental_health,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,bleeding,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,hurricane,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,shock,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,hurricane,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,tornado,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,evacuation,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,drowning,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,evacuation,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,food_and_water,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,drowning,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,heatwave,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,volcano,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,tornado,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,evacuation,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,evacuation,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,shock,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,food_and_water,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,flood,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,volcano,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,sprain,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,evacuation,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,bleeding,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,burn,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,burn,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,shelter,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,tornado,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,earthquake,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,flood,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,drowning,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,wildfire,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,flood,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,volcano,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,evacuation,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,food_and_water,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,drowning,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,cut,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,shelter,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,volcano,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,drowning,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,volcano,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,pandemic,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,volcano,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,cut,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,volcano,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,burn,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,evacuation,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,hurricane,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,shelter,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,shock,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,shelter,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,volcano,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,flood,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,shelter,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,evacuation,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,pandemic,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,burn,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,burn,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,flood,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,flood,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,food_and_water,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,hurricane,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,shelter,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,drowning,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,drowning,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,drowning,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,heatwave,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,hurricane,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,earthquake,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,wildfire,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,earthquake,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,shelter,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,evacuation,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,volcano,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,flood,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,evacuation,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,mental_health,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,cut,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,volcano,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,fracture,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,mental_health,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,fracture,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,sprain,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,food_and_water,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,earthquake,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,hurricane,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,fracture,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,burn,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,pandemic,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,earthquake,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,cut,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,shelter,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,wildfire,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,shock,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,food_and_water,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,volcano,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,shock,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,tornado,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,shock,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,volcano,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,cut,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,evacuation,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,wildfire,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,shock,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,sprain,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,hurricane,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,shock,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,hurricane,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,shock,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,heatwave,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,earthquake,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,drowning,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,mental_health,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,earthquake,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,shelter,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,volcano,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,evacuation,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,mental_health,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,heatwave,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,cut,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,cut,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,pandemic,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,fracture,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,shelter,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,drowning,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,drowning,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,fracture,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,evacuation,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,fracture,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,flood,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,flood,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,shelter,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,cut,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,evacuation,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,food_and_water,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,wildfire,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,wildfire,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,flood,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,food_and_water,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,fracture,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,cut,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,bleeding,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,shock,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,hurricane,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,bleeding,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,volcano,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,tornado,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,volcano,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,evacuation,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,burn,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,heatwave,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,wildfire,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,shock,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,pandemic,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,pandemic,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,tornado,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,burn,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,tornado,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,burn,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,cut,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,wildfire,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,heatwave,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,drowning,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,burn,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
